Epoch,Loss,Acc
0,75.424,26.048
1,74.633,44.571
2,73.935,53.238
3,73.235,56.000
4,72.525,54.714
5,71.735,56.905
6,70.749,59.667
7,69.691,67.571
8,68.666,68.143
9,67.704,69.952
10,66.593,72.143
11,65.703,71.952
12,64.888,73.667
13,63.812,75.238
14,62.615,78.333
15,61.887,78.381
16,60.992,80.143
17,60.598,78.952
18,60.245,79.286
19,59.318,81.286
20,58.568,82.333
21,58.139,82.333
22,57.470,84.143
23,57.133,83.857
24,57.347,82.381
25,57.158,82.524
26,56.875,82.714
27,56.145,84.238
28,55.668,85.333
29,55.646,84.762
30,55.295,85.667
31,55.535,84.524
32,55.208,85.143
33,55.194,84.857
34,54.910,85.333
35,54.963,84.952
36,54.744,85.476
37,54.417,86.143
38,54.249,86.333
39,54.179,86.429
40,54.297,85.857
41,54.052,86.286
42,53.849,86.810
43,53.822,86.619
44,53.902,86.095
45,53.744,86.619
46,53.524,87.190
47,53.614,86.762
48,53.627,86.905
49,53.437,87.048
50,53.664,86.143
51,53.672,86.381
52,53.493,86.524
53,53.212,87.333
54,53.568,86.286
55,53.419,86.762
56,53.440,86.524
57,53.948,85.048
58,53.763,85.238
59,53.452,86.333
60,53.634,85.619
61,53.386,86.381
62,53.320,86.238
63,53.111,86.857
64,53.231,86.619
65,53.235,86.667
66,53.083,87.000
67,53.028,86.952
68,53.137,86.571
69,53.658,85.238
70,53.310,86.095
71,53.116,86.476
72,52.982,87.000
73,52.973,86.952
74,52.886,87.143
75,52.842,87.095
76,52.901,86.952
77,53.012,86.476
78,52.843,87.143
79,52.673,87.476
