Epoch,Loss,Acc
0,71.304,29.762
1,65.350,49.286
2,59.550,66.857
3,58.832,67.952
4,56.937,74.381
5,56.337,75.952
6,56.176,76.286
7,55.715,77.476
8,53.129,86.095
9,52.098,88.810
10,51.954,88.905
11,51.705,89.476
12,51.879,89.000
13,51.801,89.143
14,51.727,89.381
15,51.681,89.333
16,51.563,89.762
17,51.753,89.238
18,51.637,89.524
19,51.777,89.238
20,51.918,88.857
21,51.775,89.238
22,51.560,89.762
23,51.528,89.857
24,51.451,89.952
25,51.414,89.952
26,51.409,89.952
27,49.360,97.619
28,48.789,98.905
29,48.486,99.619
30,48.645,98.857
31,48.635,98.952
32,48.423,99.619
33,48.590,99.048
34,48.638,99.143
35,48.484,99.524
36,48.499,99.238
37,48.448,99.381
38,48.512,99.286
39,48.387,99.619
40,48.469,99.333
41,48.330,99.905
42,48.312,99.810
43,48.315,99.762
44,48.329,99.714
45,48.363,99.619
46,48.287,99.810
47,48.236,100.000
48,48.224,100.000
49,48.220,100.000
50,48.221,100.000
51,48.219,100.000
52,48.219,100.000
53,48.219,100.000
54,48.219,100.000
55,48.219,100.000
56,48.219,100.000
57,48.218,100.000
58,48.218,100.000
59,48.219,100.000
60,48.218,100.000
61,48.218,100.000
62,48.219,100.000
63,48.218,100.000
64,48.218,100.000
65,48.219,100.000
66,48.219,100.000
67,48.218,100.000
68,48.218,100.000
69,48.218,100.000
70,48.218,100.000
71,48.218,100.000
72,48.218,100.000
73,48.218,100.000
74,48.218,100.000
75,48.218,100.000
76,48.218,100.000
77,48.218,100.000
78,48.218,100.000
79,48.218,100.000
