Epoch,Loss,Acc
0,72.638,24.714
1,65.274,52.143
2,61.995,58.381
3,61.526,59.190
4,61.308,60.000
5,58.849,69.714
6,55.591,79.048
7,55.170,79.333
8,55.061,79.333
9,54.930,79.762
10,54.866,79.905
11,54.836,79.905
12,54.771,79.952
13,52.967,86.476
14,52.298,87.952
15,52.078,88.667
16,51.911,88.952
17,51.848,89.048
18,51.827,89.095
19,51.736,89.429
20,51.718,89.333
21,51.590,89.714
22,51.656,89.571
23,51.690,89.429
24,51.666,89.714
25,51.535,89.762
26,49.182,98.143
27,48.544,99.524
28,48.354,99.857
29,48.527,99.429
30,48.619,99.095
31,48.603,99.286
32,48.490,99.429
33,48.262,99.952
34,48.227,100.000
35,48.233,100.000
36,48.279,99.905
37,48.240,99.952
38,48.222,100.000
39,48.228,100.000
40,48.221,100.000
41,48.219,100.000
42,48.219,100.000
43,48.219,100.000
44,48.219,100.000
45,48.219,100.000
46,48.219,100.000
47,48.219,100.000
48,48.219,100.000
49,48.219,100.000
50,48.219,100.000
51,48.219,100.000
52,48.218,100.000
53,48.218,100.000
54,48.218,100.000
55,48.218,100.000
56,48.219,100.000
57,48.219,100.000
58,48.219,100.000
59,48.219,100.000
60,48.219,100.000
61,48.218,100.000
62,48.218,100.000
63,48.218,100.000
64,48.218,100.000
65,48.218,100.000
66,48.218,100.000
67,48.218,100.000
68,48.218,100.000
69,48.218,100.000
70,48.218,100.000
71,48.218,100.000
72,48.218,100.000
73,48.218,100.000
74,48.218,100.000
75,48.218,100.000
76,48.218,100.000
77,48.218,100.000
78,48.218,100.000
79,48.218,100.000
