Epoch,Loss,Acc
0,71.060,29.667
1,64.184,52.571
2,61.180,61.667
3,58.458,69.238
4,58.342,69.190
5,58.805,67.905
6,58.192,69.619
7,58.088,69.714
8,57.552,71.524
9,56.361,75.333
10,55.580,77.619
11,55.125,79.048
12,55.029,79.048
13,55.324,78.333
14,54.851,79.571
15,53.787,83.571
16,52.227,88.190
17,52.029,88.762
18,49.538,96.905
19,48.681,99.048
20,48.666,99.048
21,48.574,99.190
22,48.521,99.381
23,48.553,99.143
24,48.443,99.571
25,48.438,99.476
26,48.520,99.286
27,48.314,99.810
28,48.388,99.571
29,48.376,99.667
30,48.402,99.571
31,48.551,99.143
32,48.466,99.429
33,48.372,99.714
34,48.607,98.952
35,48.479,99.238
36,48.361,99.762
37,48.301,99.857
38,48.297,99.810
39,48.361,99.619
40,48.355,99.667
41,48.322,99.762
42,48.284,99.857
43,48.320,99.762
44,48.391,99.619
45,48.512,99.190
46,48.325,99.714
47,48.338,99.714
48,48.360,99.619
49,48.396,99.524
50,48.294,99.810
51,48.234,100.000
52,48.221,100.000
53,48.220,100.000
54,48.221,100.000
55,48.219,100.000
56,48.219,100.000
57,48.218,100.000
58,48.218,100.000
59,48.219,100.000
60,48.218,100.000
61,48.218,100.000
62,48.218,100.000
63,48.218,100.000
64,48.218,100.000
65,48.218,100.000
66,48.218,100.000
67,48.218,100.000
68,48.218,100.000
69,48.218,100.000
70,48.218,100.000
71,48.218,100.000
72,48.218,100.000
73,48.218,100.000
74,48.218,100.000
75,48.218,100.000
76,48.218,100.000
77,48.218,100.000
78,48.218,100.000
79,48.218,100.000
